NR or E-UTRA Band / Channel bandwidth / NRB / MSD,,,,,,,,
EN-DC Configuration,EUTRA / NR band,UL Fc (MHz),UL/DL BW (MHz),ULLCRB,DL Fc (MHz),MSD (dB),IMD order,
,n7,2505,5,25,2625,N/A,N/A,
,n77,N/A,10,N/A,4163,16.1,IMD3,
DC_5A-7A_n78ADC_5A-7A_n78CDC_5A-7A_n78(A-C)DC_5A-7A-7A_n78C,5,844,5,25,889,N/A,N/A,
DC_5A-7A-7A_n78(A-C),7,N/A,10,N/A,2645,30.1,IMD2,
,n78,3489,10,50,3489,N/A,N/A,
,5,N/A,5,N/A,879,30.2,IMD2,
,7,2550,10,50,2670,N/A,N/A,
,n78,3429,10,50,3429,N/A,N/A,
,5,N/A,5,N/A,875,3.3,IMD5,
,7,2525,10,50,2645,N/A,N/A,
,n78,3350,10,50,3350,N/A,N/A,
DC_5A_n7A-n78ADC_5A_n7(2A)-n78ADC_5A_n7A-n78(2A)DC_5A_n7(2A)-n78(2A),5,844,5,25,889,N/A,N/A,
,n7,N/A,5,N/A,2645,30.1,IMD2,
,n78,3489,10,50,3489,N/A,N/A,
,5,835,5,25,880,N/A,N/A,
,n7,2540,5,25,2660,N/A,N/A,
,n78,N/A,10,N/A,3375,29.7,IMD2,
DC_5A-13A_n66A,5,840,5,25,885,N/A,N/A,
,13,N/A,5,N/A,750,9.4,IMD4,
,n66,1770,5,25,2170,N/A,N/A,
DC_5A-13A_n77A11,5,840,5,25,885,N/A,N/A,
DC_5A-13A_n77C11,n77,4110,10,50,4110,N/A,N/A,
,13,N/A,5,N/A,750,4.4,IMD5,
,13,782,5,20,751,N/A,N/A,
,n77,4013,10,50,4013,N/A,N/A,
,5,N/A,5,N/A,885,4.5,IMD5,
DC_5A_n28A-n77ADC_5A_n28A-n77C,5,846.5,5,25,891.5,N/A,N/A,
,n28,710.5,5,25,765.5,11.6,IMD4,
,n77,3305,10,50,3305,N/A,N/A,
,5,835,5,25,880,N/A,N/A,
,n28,710,5,25,765,4.4,IMD5,
,n77,4105,10,50,4105,N/A,N/A,
DC_5A_n28A-n78ADC_5A_n28A-n78C,5,846.5,5,25,891.5,N/A,N/A,
,n28,715.5,5,25,765.5,11.6,IMD4,
,n78,3305,10,50,3305,N/A,N/A,
,5,830,5,25,875,N/A,N/A,
,n28,707,5,25,762,N/A,N/A,
,n78,N/A,10,N/A,3658,4.0,IMD5,
DC_5A-30A_n2A,5,N/A,5,N/A,880,8,IMD4,
,30,2310,5,25,2355,N/A,N/A,
,n2,1870,5,25,1950,N/A,N/A,
DC_5A-30A_n77ADC_5A-30A_n77(2A),5,835,5,25,880,15.2,IMD34,
,30,N/A,5,N/A,2355,N/A,N/A,
,n77,3740,10,50,3740,N/A,N/A,
,5,835,5,25,880,N/A,N/A,
,30,N/A,5,N/A,2355,13.2,IMD311,
,n77,4025,10,50,4025,N/A,N/A,
DC_5A_n38A-n66A,5,830,5,25,875,N/A,N/A,
,n66,1760,5,25,2160,N/A,N/A,
,n38,N/A,10,N/A,2590,28.9,IMD2,
DC_5A-40A_n77ADC_5A-40C_n77ADC_5A-40A_n77CDC_5A-40C_n77C,5,835,5,25,880,N/A,N/A,
,40,2355,5,25,2355,13.2,IMD3,
,n77,4025,10,50,4025,N/A,N/A,
,5,835,5,25,880,15.2,IMD34,
,40,2310,5,25,2310,N/A,N/A,
,n77,3740,10,50,3740,N/A,N/A,
DC_5A_n41A-n66A,5,846.5,5,25,891.5,N/A,N/A,
,n41,2624,10,50,2624,29.0,IMD2,
,n66,1777.5,5,25,2177.5,N/A,N/A,
,5,830,5,25,875,N/A,N/A,
,n41,2600,10,50,2600,18,IMD3,
,n66,1715,5,25,2115,N/A,N/A,
DC_5A_n40A-n77A,5,840,5,25,885,N/A,N/A,
DC_5A_n40A-n77(2A),n40,2310,10,50,2310,N/A,N/A,
,n77,N/A,10,N/A,3780,16.1,IMD3,
,5,835,5,25,880,N/A,N/A,
,n40,N/A,10,N/A,2355,13.2,IMD3,
,n77,4025,10,50,4025,N/A,N/A,
DC_5A-40A_n78ADC_5A-40C_n78ADC_5A-40A_n78CDC_5A-40C_n78C,5,835,5,25,880,15.2,IMD3,
,40,2310,5,25,2310,N/A,N/A,
,n78,3740,10,50,3740,N/A,N/A,
DC_5A_n40A-n78A,5,840,5,25,885,N/A,N/A,
DC_5A_n40A-n78C,n40,2310,10,50,2310,N/A,N/A,
,n78,N/A,10,N/A,3780,16.1,IMD3,
DC_5A_n41A-n77A,5,835,5,25,880,N/A,N/A,
,n41,2540,10,50,2540,N/A,N/A,
,n77,N/A,10,N/A,3375,28.2,IMD22,
,5,840,5,25,885,N/A,N/A,
,n41,2503,10,50,2503,N/A,N/A,
,n77,N/A,10,N/A,4183,14.6,IMD3,
,5,844,5,25,889,N/A,N/A,
,n41,N/A,10,N/A,2645,28.1,IMD2,
,n77,3489,10,50,3489,N/A,N/A,
,5,835,5,25,880,N/A,N/A,
,n41,N/A,10,N/A,2510,11.2,IMD3,
,n77,4180,10,50,4180,N/A,N/A,
DC_5A_41A_n78A,5,N/A,5,N/A,885,30.2,IMD2,
,41,2615,5,25,2615,N/A,N/A,
,n78,3500,10,50,3500,N/A,N/A,
,5,N/A,5,N/A,881.5,3.1,IMD5,
,41,2620.5,5,25,2620.5,N/A,N/A,
,n78,3490,10,50,3490,N/A,N/A,
DC_5A_n41A-n78A,5,835,5,25,880,N/A,N/A,
,n41,2540,10,50,2540,N/A,N/A,
,n78,N/A,10,N/A,3375,28.2,IMD22,
,5,844,5,25,889,N/A,N/A,
,n41,N/A,10,N/A,2645,28.1,IMD2,
,n78,3489,10,50,3489,N/A,N/A,
DC_5A-41A_n79A,5,N/A,5,N/A,880,23.9,IMD3,
,41,2665,20,100,2665,N/A,N/A,
,n79,4450,40,216,4450,N/A,N/A,
,5,826.5,5,25,871.5,N/A,N/A,
,41,N/A,20,N/A,2517.5,1.8,IMD4,
,n79,4980,40,216,4980,N/A,N/A,
DC_5A-46A_n66A,5,847,5,25,892,N/A,N/A,
,46,N/A,10,N/A,5163,9.04,IMD4|2*fB5+2*fn66|,
,n66,1775,5,25,2175,N/A,N/A,
DC_5A-48A_n12A,5,830,5,25,875,N/A,N/A,
,48,N/A,5,N/A,3650,4.4,IMD5,
,n12,705,5,25,735,N/A,N/A,
,5,N/A,5,N/A,875,5.9,IMD5,
,48,3695,5,25,3695,N/A,N/A,
,n12,705,5,25,735,N/A,N/A,
DC_5A-48A_n71A,5,830,5,25,875,N/A,N/A,
,48,N/A,5,N/A,3590,4.4,IMD5,
,n71,690,5,25,644,N/A,N/A,
,5,N/A,5,N/A,880,5.9,IMD5,
,48,3600,5,25,3600,N/A,N/A,
,n71,680,5,25,634,N/A,N/A,
DC_5A-66A_n2ADC_5B-66A_n2ADC_5A-5A-66A_n2ADC_5A-66A-66A_n2ADC_5B-66A-66A_n2ADC_5A-5A-66A-66A_n2A,5,834,5,25,879,N/A,N/A,
DC_5A-66B_n2ADC_5A-66A_n2(2A),66,N/A,5,N/A,2132,7.2,IMD4,
,n2,1900,5,25,1980,N/A,N/A,
DC_5A-66A_n7ADC_5A-66A-66A_n7A,5,N/A,5,N/A,880,18.0,IMD3,
,66,1720,5,25,2120,N/A,N/A,
,n7,2560,5,25,2680,N/A,N/A,
DC_5A-66A_n25A,5,834,5,25,879,N/A,N/A,
,66,1732,5,25,2132,7.2,IMD4,
,n25,1900,5,25,1980,N/A,N/A,
DC_5A-66A_n30A,5,830,5,25,875,N/A,N/A,
,66,N/A,5,N/A,2125,4,IMD5,
,n30,2307.5,5,50,2352.5,N/A,N/A,
DC_5A-66A_n41A,5,830,5,25,875,28.9,IMD2,
,66,1765,5,25,2165,N/A,N/A,
,n41,2640,10,50,2640,N/A,N/A,
,5,835,5,25,880,18.0,IMD3,
,66,1720,5,25,2120,N/A,N/A,
,n41,2560,10,50,2560,N/A,N/A,
DC_5A-66A_n71A,5,830,5,25,875,N/A,N/A,
,66,N/A,5,N/A,2161,13,IMD3,
,n71,665.5,5,25,619.5,N/A,N/A,
,5,N/A,5,N/A,891.5,4.2,IMD5,
,66,1770,5,25,2170,N/A,N/A,
,n71,665.5,5,25,619.5,N/A,N/A,
DC_5A-66A_n77A,5,826.5,5,25,871.5,N/A,N/A,
DC_5A-66A_n77CDC_5A-66A_n77(2A)DC_5A-66A-66A_n77ADC_5A-66A-66A_n77C,66,N/A,5,N/A,2142,13.2,IMD3,
DC_5A-66A-66A_n77(2A),n77,3795,10,50,3795,N/A,N/A,
DC_5A-66A_n78ADC_5A-66A_n78(2A),5,826.5,5,25,871.5,N/A,N/A,
DC_5A-66A-66A_n78A,66,N/A,5,N/A,2142,13.2,IMD3,
,n78,3795,10,50,3795,N/A,N/A,
DC_5A_n66A-n77A,5,826.5,5,25,871.5,N/A,N/A,
,n66,N/A,5,N/A,2142,13.2,IMD3,
,n77,3795,10,50,3795,N/A,N/A,
,5,845,5,25,890,N/A,N/A,
,n66,1785,5,25,2185,N/A,N/A,
,n77,N/A,10,N/A,3475,16.1,IMD3,
DC_5A_n66A-n78A,5,830,5,25,875,N/A,N/A,
,n66,1760,5,25,2160,N/A,N/A,
,n78,N/A,10,N/A,3420,16.6,IMD3,
,5,826.5,5,25,871.5,N/A,N/A,
,n66,N/A,5,N/A,2142,13.2,IMD3,
,n78,3795,10,50,3795,N/A,N/A,
DC_7A_n1A-n28A,7,2535,5,25,2655,N/A,N/A,
DC_7C-n1A-n28A,n1,1950,5,25,2140,N/A,N/A,
,n28,N/A,5,N/A,780,4.3,IMD5,
DC_7A_n1A-n40A,7,2540,5,25,2660,N/A,N/A,
,n40,2335,10,50,2335,N/A,N/A,
,n1,N/A,5,N/A,2130,15.2,IMD3,
DC_7A_n1A-n75A,n1,1977.5,5,25,2167.5,N/A,N/A,
,7,2502.5,5,25,2622.5,N/A,N/A,
,75,N/A,5,N/A,1454.5,15.2,IMD3,
DC_7A_n1A-n78A,7,2520,5,25,2640,N/A,N/A,
DC_7C_n1A-n78A,n1,1970,5,25,2160,N/A,N/A,
DC_7A_n1A-n78(2A),n78,N/A,10,N/A,3390,10.1,IMD4,
DC_7C_n1A-n78(2A),7,2530,5,25,2650,N/A,N/A,
,n1,N/A,5,N/A,2160,9.0,IMD4,
,n78,3610,10,50,3610,N/A,N/A,
DC_7A_n2A-n71A,7,2530,5,25,2650,N/A,N/A,
,n2,1900,5,25,1980,N/A,N/A,
,n71,N/A,5,N/A,630,28.7,IMD2,
DC_7A_n2A-n77A,7,2550,5,25,2685,N/A,N/A,
,n2,1870,5,25,1950,8.6,IMD4,
,n77,3525,10,50,3525,N/A,N/A,
,7,2525,5,25,2645,N/A,N/A,
,n2,1900,5,25,1980,N/A,N/A,
,n77,3775,10,50,3775,4.2,IMD5,
DC_7A_n2A-n78A,7,2550,5,25,2685,N/A,N/A,
,n2,N/A,5,N/A,1950,8.6,IMD4,
,n78,3525,10,50,3525,N/A,N/A,
,7,2525,5,25,2645,N/A,N/A,
,n2,1900,5,25,1980,N/A,N/A,
,n78,N/A,10,N/A,3775,4.2,IMD5,
DC_7A_n3A-n78A,7,2560,5,25,2680,N/A,N/A,
DC_7C_n3A-n78A,n3,1730,5,25,1825,N/A,N/A,
DC_7A_n3A-n78(2A),n78,N/A,10,N/A,3390,16.1,IMD3,
DC_7C_n3A-n78(2A),7,2565,5,25,2685,N/A,N/A,
,n3,N/A,5,N/A,1820,15.6,IMD3,
,n78,3310,10,50,3310,N/A,N/A,
DC_7A_n8A-n40A,7,2530,5,25,2650,N/A,N/A,
,n8,905,5,25,950,N/A,N/A,
,n40,N/A,10,N/A,2345,3.0,IMD5,
DC_7A-8A_n3A,n3,1735,5,25,1830,N/A,N/A,
,7,2530,10,50,2650,N/A,N/A,
,8,N/A,5,N/A,940,18.0,IMD3,
,7,N/A,10,N/A,2670,29.0,IMD2+IMD33,
,8,890,5,25,935,N/A,N/A,
,n3,1780,5,25,1875,N/A,N/A,
DC_7A-8A_n20A,7,N/A,5,N/A,2640,21.1,"IMD34,15",
,8,900,5,25,945,N/A,N/A,
,n20,840,5,25,799,N/A,N/A,
,7,2503,5,25,2623,N/A,N/A,
,n20,859,5,25,818,N/A,N/A,
,8,N/A,5,N/A,933,4.4,IMD5,
DC_7A-8A_n77A,7,2520,5,25,2640,N/A,N/A,
,8,N/A,5,N/A,940,3.1,IMD5,
,n77,3310,10,50,3310,N/A,N/A,
,7,2530,5,25,2650,N/A,N/A,
,8,N/A,5,N/A,940,30.5,IMD2,
,n77,3470,10,50,3470,N/A,N/A,
,7,N/A,5,N/A,2650,28,IMD2,
,8,895,5,25,940,N/A,N/A,
,n77,3545,10,50,3545,N/A,N/A,
DC_7A-8A_n78A,7,2530,5,25,2650,N/A,N/A,
DC_7A-8B_n78A,8,N/A,5,N/A,940,30.5,IMD2,
DC_7A-7A-8B_n78A,n78,3470,10,50,3470,N/A,N/A,
,7,2520,5,25,2640,N/A,N/A,
,8,N/A,5,N/A,940,3.1,IMD5,
,n78,3310,10,50,3310,N/A,N/A,
,7,N/A,5,N/A,2650,28,IMD2,
,8,895,5,25,940,N/A,N/A,
,n78,3545,10,50,3545,N/A,N/A,
DC_7A_n8A-n78A,7,2555,5,25,2675,N/A,N/A,
,n8,900,5,25,945,N/A,N/A,
,n78,N/A,10,N/A,3455,28.5,IMD2,
,7,2555,5,25,2675,N/A,N/A,
,n8,N/A,5,N/A,945,29.7,IMD2,
,n78,3500,10,50,3500,N/A,N/A,
DC_7A-12A_n2A,7,2502.5,5,25,2622.5,N/A,N/A,
DC_7A-12A_n2(2A),12,N/A,5,N/A,731.5,5.3,IMD5,
,n2,1907.5,5,25,1987.5,N/A,N/A,
,7,N/A,5,N/A,2621,30.8,IMD2,
,12,713.5,5,25,743.5,N/A,N/A,
,n2,1907.5,5,25,1987.5,N/A,N/A,
DC_7A-12A_n25A,7,2502.5,5,25,2622.5,N/A,N/A,
,12,N/A,5,N/A,731.5,5.3,IMD5,
,n25,1907.5,5,25,1987.5,N/A,N/A,
,7,N/A,5,N/A,2622.5,30.8,IMD2,
,12,713.5,5,25,743.5,N/A,N/A,
,n25,1907.5,5,25,1987.5,N/A,N/A,
DC_7A-12A_n66A,7,2515,5,25,2635,N/A,N/A,
,12,N/A,5,N/A,742,31,IMD2,
,n66,1773,5,25,2173,N/A,N/A,
DC_7A_n12A-n77A,7,2565,5,25,2685,N/A,N/A,
,n12,N/A,5,N/A,740,30.8,IMD2,
,n77,3305,10,50,3305,N/A,N/A,
,7,2505,5,25,2625,N/A,N/A,
,n12,702,5,25,732,N/A,N/A,
,n77,N/A,10,N/A,3909,16.0,IMD3,
DC_7A-12A_n77ADC_7A-12A_n77(2A),7,N/A,5,N/A,2662,29.6,IMD21,
,12,708,5,25,738,N/A,N/A,
,n77,3370,10,50,3370,N/A,N/A,
,7,2565,5,25,2685,N/A,N/A,
,12,N/A,5,N/A,740,30.8,IMD2,
,n77,3305,10,50,3305,N/A,N/A,
DC_7A-12A_n78ADC_7A-12A_n78(2A),7,N/A,5,N/A,2662,29.6,IMD2,
,12,708,5,25,738,N/A,N/A,
,n78,3370,10,50,3370,N/A,N/A,
,7,2565,5,25,2685,N/A,N/A,
,12,N/A,5,N/A,740,30.8,IMD24,
,n78,3305,10,50,3305,N/A,N/A,
DC_7A_n12A-n78A,7,2565,5,25,2685,N/A,N/A,
,n12,710,5,25,740,30.8,IMD24,
,n78,3305,10,50,3305,N/A,N/A,
,7,2505,5,25,2625,N/A,N/A,
,n12,702,5,25,732,N/A,N/A,
,n78,N/A,10,50,3606,10.3,IMD4,
DC_7A-13A_n66A,7,2520,5,25,2640,N/A,N/A,
,13,N/A,5,N/A,750,31,IMD2,
,n66,1770,5,25,2170,N/A,N/A,
,7,N/A,5,N/A,2660,18,IMD3,
,13,780,5,25,749,N/A,N/A,
,n66,1720,5,25,2120,N/A,N/A,
DC_7A-13A_n25ADC_7A-7A-13A_n25ADC_7C-13A_n25A,7,N/A,10,N/A,2662,27.6,IMD2,
,13,782,5,25,751,N/A,N/A,
,n25,1880,5,25,1960,N/A,N/A,
DC_7A-20A_n1ADC_7C-20A_n1A,7,2510,10,50,2630,N/A,N/A,
,20,N/A,10,N/A,800,4.5,IMD5,
,n1,1940,5,25,2130,N/A,N/A,
DC_7A-20A_n3A,7,2543,10,50,2663,N/A,N/A,
,20,N/A,10,N/A,806,10.5,IMD2,
,n3,1737,5,25,1832,N/A,N/A,
,7,N/A,10,N/A,2630,26.0,IMD21,
,20,855,5,25,814,N/A,N/A,
,n3,1775,10,50,1870,N/A,N/A,
DC_7A-20A_n7A,7,N/A,5,N/A,2631.5,2.5,IMD5,
,20,834.5,5,25,793.5,N/A,N/A,
,n7,2567.5,5,25,2687.5,N/A,N/A,
DC_7A-20A_n8A,7,2565,5,25,2685,N/A,N/A,
,n8,885,5,25,930,N/A,N/A,
,20,N/A,5,N/A,795,17.4,IMD3,
,7,N/A,5,N/A,2640,21.1,IMD3,
,n8,900,5,25,945,N/A,N/A,
,20,840,5,25,799,N/A,N/A,
,7,N/A,5,N/A,2624,18.8,IMD3,
,n8,910,5,25,955,N/A,N/A,
,20,857,5,25,816,N/A,N/A,
DC_7A-20A_n28ADC_7C-20A_n28A,20,842,5,25,801,N/A,N/A,
,n28,728,5,25,783,N/A,N/A,
,7,N/A,10,N/A,2640,5.9,IMD5,
DC_7A-20A_n78ADC_7A-7A-20A_n78A,7,2560,5,25,2680,N/A,N/A,
DC_7A-20A_n78(2A),20,N/A,5,N/A,810,30.5,IMD2,
DC_7A-20A_n78C,n78,3370,10,50,3370,N/A,N/A,
,7,2560,5,25,2680,N/A,N/A,
,20,N/A,5,N/A,810,3.0,IMD5,
,n78,3435,10,50,3435,N/A,N/A,
,7,N/A,5,N/A,2675,30.8,IMD2,
,20,845,5,25,804,N/A,N/A,
,n78,3520,10,50,3520,N/A,N/A,
DC_7A_n25A-n71A,7,2530,5,25,2650,N/A,N/A,
,n25,1900,5,25,1980,N/A,N/A,
,n71,N/A,5,N/A,630,28.7,IMD2,
,7,2550,5,25,2670,N/A,N/A,
,n25,1910,5,25,1990,N/A,N/A,
,n71,N/A,5,N/A,630,5,IMD5,
DC_7A-25A_n77ADC_7A-7A-25A_n77ADC_7C-25A_n77ADC_7C-25A-25A_n77ADC_7A-25A-25A_n77ADC_7A-7A-25A-25A_n77A,7,2550,5,25,2670,N/A,N/A,
,25,N/A,5,N/A,1950,8.6,IMD4,
,n77,3525,10,50,3525,N/A,N/A,
,7,N/A,5,N/A,2660,3.4,IMD5,
,25,1860,5,25,1940,N/A,N/A,
,n77,4120,10,50,4120,N/A,N/A,
DC_7A-25A_n78ADC_7A-7A-25A_n78ADC_7C-25A_n78ADC_7A-25A-25A_n78ADC_7A-7A-25A-25A_n78ADC_7C-25A-25A_n78A,7,2550,5,25,2670,N/A,N/A,
,25,N/A,5,N/A,1950,8.6,IMD4,
,n78,3525,10,50,3525,N/A,N/A,
DC_7A-26A_n78A,7,2525,5,25,2645,30.1,IMD2,
DC_7C-26A_n78A,26,844,5,25,889,N/A,N/A,
,n78,3489,10,50,3489,N/A,N/A,
,7,2550,5,25,2670,N/A,N/A,
,26,834,5,25,879,30.2,IMD2,
,n78,3429,10,50,3429,N/A,N/A,
,7,2525,5,25,2645,N/A,N/A,
,26,830,5,25,875,3.3,IMD5,
,n78,3350,10,50,3350,N/A,N/A,
DC_7A_n26A-n78A,7,2550,5,25,2670,N/A,N/A,
DC_7C_n26A-n78A,n26,N/A,5,N/A,879,30.2,IMD2,
,n78,3429,10,50,3429,N/A,N/A,
,7,2525,5,25,2645,N/A,N/A,
,n26,N/A,5,N/A,875,3.3,IMD5,
,n78,3350,10,50,3350,N/A,N/A,
,7,2540,5,25,2660,N/A,N/A,
,n26,835,5,25,880,N/A,N/A,
,n78,N/A,10,N/A,3375,29.7,IMD29,
DC_7A-28A_n1A,7,2535,5,25,2655,N/A,N/A,
DC_7A-7A-28A_n1A,28,N/A,5,N/A,780,4.3,IMD5,
,n1,1950,5,25,2140,N/A,N/A,
,7,N/A,5,N/A,2665,29.0,IMD2,
,28,730,5,25,785,N/A,N/A,
,n1,1935,5,25,2125,N/A,N/A,
DC_7A-28A_n2A,7,N/A,10,N/A,2630,27.6,IMD2,
,28,730,5,25,785,N/A,N/A,
,n2,1900,5,25,1980,N/A,N/A,
DC_7A-28A_n3ADC_7C-28A_n3A,7,2543,5,25,2663,N/A,N/A,
,28,N/A,5,N/A,796.0,20.0,IMD2,
,n3,1747,5,25,1842,N/A,N/A,
,7,N/A,5,N/A,2685,18,IMD3,
,28,745,5,25,800,N/A,N/A,
,n3,1715,5,25,1810,N/A,N/A,
DC_7A-28A_n5ADC_7C-28A_n5A,7,2540,5,25,2660,N/A,N/A,
,28,N/A,5,N/A,776,4.4,IMD5,
,n5,829,5,25,874,N/A,N/A,
,7,N/A,5,N/A,2630,5.9,IMD5,
,28,730,5,25,785,N/A,N/A,
,n5,840,5,25,885,N/A,N/A,
DC_7A-28A_n20A,7,N/A,5,N/A,2640,5.9,IMD5,
,28,728,5,25,783,N/A,N/A,
,n20,842,5,25,801,N/A,N/A,
,7,2505,5,25,2625,N/A,N/A,
,n20,859,5,25,818,N/A,N/A,
,28,N/A,5,N/A,787,17.4,IMD3,
DC_7A-28A_n40A,7,N/A,5,N/A,2630,5.9,IMD5,
,28,743,5,25,798,N/A,N/A,
,n40,2310,10,50,2310,N/A,N/A,
DC_7A-28A_n66ADC_7C-28A_n66A,7,N/A,10,N/A,2682,16.9,IMD3,
,28,743,5,25,798,N/A,N/A,
,n66,1712.5,5,25,2112.5,N/A,N/A,
,7,2543,5,25,2663,N/A,N/A,
,28,N/A,5,N/A,796,20.0,IMD2,
,n66,1747,5,25,2147,N/A,N/A,
DC_7A-28A_n78A,7,2567.5,5,25,2687.5,N/A,N/A,
,28,N/A,5,N/A,782.5,28.8,IMD2,
,n78,3350,10,50,3350,N/A,N/A,
,7,2567.5,5,25,2687.5,N/A,N/A,
,28,N/A,5,N/A,782.5,3.0,IMD5,
,n78,3460,10,50,3460,N/A,N/A,
,7,N/A,5,N/A,2650,30.5,IMD2,
,28,740,5,25,795,N/A,N/A,
,n78,3390,10,50,3390,N/A,N/A,
DC_7A_n28A-n78ADC_7C_n28A-n78A,7,2565,5,25,2685,N/A,N/A,
DC_7A-7A_n28A-n78A,n28,745,5,25,800,N/A,N/A,
,n78,N/A,10,N/A,3310,29.7,IMD2,
,7,2565,5,25,2685,N/A,N/A,
,n78,3365,10,50,3365,N/A,N/A,
,n28,N/A,5,N/A,800,28.8,IMD2,
DC_7A-29A_n78ADC_7C-29A_n78ADC_7A-7A-29A_n78A,7,2540,5,25,2660,N/A,N/A,
,29,N/A,N/A,N/A,720,3.0,IMD5,
,n78,3450,10,50,3450,N/A,N/A,
DC_7A-32A_n1A,n1,1977.5,5,25,2167.5,N/A,N/A,
,7,2502.5,5,25,2622.5,N/A,N/A,
,32,N/A,5,N/A,1454.5,15.2,IMD3,
DC_7A-32A_n3A,7,1775,5,25,1870,N/A,N/A,
,n3,2510,10,50,2630,N/A,N/A,
,32,N/A,5,N/A,1470,10.5,IMD4,
DC_7A-32A_n78A,n78,3560.5,10,50,3560.5,N/A,N/A,
,7,2517.5,5,25,2637.5,N/A,N/A,
,32,N/A,5,N/A,1474.5,17.6,IMD3,
,n78,3311,10,50,3311,N/A,N/A,
,7,2565,5,25,2685,N/A,N/A,
,32,N/A,5,N/A,1492,4.9,IMD4,
DC_7A-40A_n1ADC_7A-40C_n1A,n1,1970,5,25,2160,N/A,N/A,
,7,N/A,5,N/A,2650,32.1,IMD3,
,40,2310,5,25,2310,N/A,N/A,
DC_7A_n40A-n77A,7,2520,5,25,2640,N/A,N/A,
DC_7A_n40A-n77(2A),n40,N/A,10,N/A,2360,9.2,IMD4,
DC_7A-7A_n40A-n77ADC_7A-7A_n40A-n77(2A),n77,3700,10,50,3700,N/A,N/A,
DC_7A-40A_n78ADC_7A-40C_n78A,7,N/A,5,N/A,2630,10.1,IMD4,
,40,2310,5,25,2310,N/A,N/A,
,n78,3625,10,50,3625,N/A,N/A,
,7,2510,5,25,2630,N/A,N/A,
,40,N/A,5,N/A,2310,8.7,IMD4,
,n78,3785,10,50,3785,N/A,N/A,
DC_7A_n40A-n78A,7,2520,10,50,2640,N/A,N/A,
DC_7A_n40A-n78C,n40,N/A,10,N/A,2360,8.7,IMD4,
DC_7A-7A_n40A-n78ADC_7A-7A_n40A-n78C,n78,3700,10,50,3700,N/A,N/A,
DC_7A-46A_n78A6,7,N/A,N/A,N/A,N/A,N/A,N/A,
,46,N/A,N/A,N/A,N/A,N/A,"IMD2, IMD5",
,n78,N/A,N/A,N/A,N/A,N/A,N/A,
DC_7A-66A_n5ADC_7C-66A_n5ADC_7A-66A-66A_n5ADC_7C-66A-66A_n5ADC_7A-7A-66A_n5ADC_7A-7A-66A-66A_n5A,7,N/A,10,N/A,2625,30.0,IMD26,
,66,1775,10,50,2175,N/A,N/A,
,n5,846.5,5,25,891.5,N/A,N/A,
DC_7A-66A_n7ADC_7A-66A-66A_n7A,7,N/A,10,N/A,2675,15,IMD4,
,66,1730,5,25,2130,N/A,N/A,
,n7,2515,10,50,2635,N/A,N/A,
DC_7A-66A_n28A,7,N/A,5,N/A,2685,18.0,IMD3,
,66,1715,5,25,2115,N/A,N/A,
,n28,745,5,25,800,N/A,N/A,
DC_7A-66A_n77ADC_7A-7A-66A_n77ADC_7A-7A-66A_n77(2A)DC_7A-66A_n77(2A)DC_7C-66A_n77ADC_7C-66A_n77(2A),7,2550,5,25,2685,N/A,N/A,
,66,N/A,5,N/A,2150,8.7,IMD4|2*fB7-2*fn77|,
,n77,3625,10,50,3475,N/A,N/A,
,66,1715,5,25,2115,N/A,N/A,
,7,N/A,5,N/A,2670,5.2,IMD5,
,n77,4190,10,50,4190,N/A,N/A,
,66,1720,5,25,2120,N/A,N/A,
,7,N/A,5,N/A,2640,3.4,IMD5,
,n77,3900,10,50,3900,N/A,N/A,
DC_7A_n66A-n77ADC_7A-7A_n66A-n77ADC_7C_n66A-n77A,7,2550,5,25,2685,N/A,N/A,
,n66,N/A,5,N/A,2150,8.7,IMD4,
,n77,3625,10,50,3625,N/A,N/A,
,7,2542,5,25,2662,N/A,N/A,
,n66,1740,5,25,2140,N/A,N/A,
,n77,N/A,10,N/A,3344,16.0,IMD34,
DC_7A-66A_n78ADC_7C-66A_n78ADC_7A-7A-66A_n78ADC_7A-66A-66A_n78ADC_7A-7A-66A-66A_n78ADC_7C-66A-66A_n78ADC_7A_n66A-n78ADC_7A-7A_n66A-n78ADC_7C_n66A-n78ADC_7A-66A_n78(2A)DC_7C-66A_n78(2A)DC_7A-7A-66A_n78(2A)DC_7A-66A-66A_n78(2A)DC_7A-7A-66A-66A_n78(2A)DC_7C-66A-66A_n78(2A),7,2550,5,25,2685,N/A,N/A,
,66/n66,N/A,5,N/A,2150,8.7,IMD4,
,n78,3625,10,50,3475,N/A,N/A,
DC_7A_n66A-n78ADC_7A-7A_n66A-n78ADC_7C_n66A-n78A,7,2542,5,25,2662,N/A,N/A,
,n66,1740,5,25,2140,N/A,N/A,
,n78,N/A,10,N/A,3344,16.0,IMD3,
DC_7A-71A_n2A,n2,1859,5,25,1939,N/A,N/A,
DC_7A-71A_n2(2A),7,2505,5,25,2625,N/A,N/A,
,71,N/A,5,N/A,646,30.8,IMD2,
DC_7A-71A_n25A,7,2530,5,25,2530,N/A,N/A,
,71,N/A,5,N/A,630,28.7,IMD24,
,n25,1900,5,25,1980,N/A,N/A,
DC_7A-71A_n77ADC_7A-71A_n77(2A),7,N/A,5,N/A,2670,29.6,IMD21,
,71,680,5,25,634,N/A,N/A,
