Band / Channel bandwidth / NRB / Duplex mode,,,,,,,,Source of IMD
NR CA band combination,NR band,UL Fc (MHz),UL/DL BW (MHz),UL LCRB,DL Fc (MHz),MSD (dB),Duplex mode,
,n40,2302.5,5,25,2302.5,N/A,TDD,N/A
,n77,3742.5,10,50,3742.5,N/A,TDD,N/A
CA_n18-n41-n77,n18,820,5,25,865,N/A,FDD,N/A
,n41,2630,10,50,2630,N/A,TDD,N/A
,n77,N/A,10,N/A,3450,28.6,TDD,"IMD22,4"
,n18,820,5,25,865,N/A,FDD,N/A
,n41,N/A,10,N/A,2630,26.5,TDD,IMD24
,n77,3450,10,50,3450,N/A,TDD,N/A
,n18,N/A,5,N/A,870,29.3,FDD,"IMD21,4"
,n41,2590,10,50,2590,N/A,TDD,N/A
,n77,3460,10,50,3460,N/A,TDD,N/A
CA_n20-n28-n78,n20,N/A,5,N/A,808,3.8,FDD,IMD5
,n28,705.5,5,25,760.5,N/A,FDD,N/A
,n78,3630,10,50,3630,N/A,TDD,N/A
,n20,859.5,5,25,818.5,N/A,FDD,N/A
,n28,710,5,25,765,11.6,FDD,IMD4
,n78,3343.5,10,N/A,3343.5,N/A,TDD,N/A
,n20,859.5,5,25,818.5,N/A,FDD,N/A
,n28,733.5,5,25,788.5,N/A,FDD,N/A
,n78,N/A,10,N/A,3312,10.3,TDD,IMD4
,n20,840,5,25,799,N/A,FDD,N/A
,n28,710,5,25,765,N/A,FDD,N/A
,n78,N/A,10,N/A,3680,4.0,TDD,IMD5
CA_n20-n41-n71,n20,834,5,25,793,N/A,FDD,N/A
,n41,2686,10,25,2686,N/A,TDD,N/A
,n71,N/A,5,N/A,650,5.9,FDD,IMD5
,n20,835,5,25,794,N/A,FDD,N/A
,n41,N/A,10,N/A,2660,6.5,TDD,IMD5
,n71,680,5,25,634,N/A,FDD,N/A
CA_n20-n41-n77,n20,847,5,25,806,N/A,FDD,N/A
,n41,2593,10,50,2593,N/A,TDD,N/A
,n77,N/A,10,N/A,3440,28.2,TDD,IMD22
,n20,847,5,25,806,N/A,FDD,N/A
,n41,2506,10,50,2506,N/A,TDD,N/A
,n77,N/A,10,N/A,4165,14.6,TDD,IMD3
,n20,847,5,25,806,N/A,FDD,N/A
,n41,N/A,10,N/A,2593,28.1,TDD,IMD2
,n77,3440,10,50,3440,N/A,TDD,N/A
,n20,837,5,25,796,N/A,FDD,N/A
,n41,N/A,10,N/A,2516,11.2,TDD,IMD3
,n77,4190,10,50,4190,N/A,TDD,N/A
,n20,N/A,5,N/A,806,28.7,FDD,IMD2
,n41,2594,10,50,2594,N/A,TDD,N/A
,n77,3400,10,50,3400,N/A,TDD,N/A
,n20,N/A,5,N/A,817,13.7,FDD,IMD3
,n41,2501,10,50,2501,N/A,TDD,N/A
,n77,4185,10,50,4185,N/A,TDD,N/A
CA_n20-n41-n78,n20,847,5,25,806,N/A,FDD,N/A
,n41,2593,10,50,2593,N/A,TDD,N/A
,n78,N/A,10,N/A,3440,28.8,TDD,IMD22
,n20,847,5,25,806,N/A,FDD,N/A
,n41,N/A,10,N/A,2593,29.8,TDD,IMD2
,n78,3440,10,50,3440,N/A,TDD,N/A
,n20,N/A,5,N/A,806,30.8,FDD,IMD2
,n41,2593,10,50,2593,N/A,TDD,N/A
,n78,3399,10,50,3399,N/A,TDD,N/A
,n20,N/A,5,N/A,806,3.3,FDD,IMD5
,n41,2635,10,50,2635,N/A,TDD,N/A
,n78,3549.5,10,50,3549.5,N/A,TDD,N/A
CA_n20-n67-n78,n20,855,5,25,814,N/A,FDD,N/A
,n67,N/A,5,N/A,755,11.6,FDD,IMD4
,n78,3320,10,50,3320,N/A,TDD,N/A
CA_n20-n71-n78,n20,847,5,25,806,N/A,FDD,N/A
,n71,680,5,25,634,N/A,FDD,N/A
,n78,N/A,10,N/A,3567,4,TDD,IMD5
,n20,N/A,5,N/A,808,3.8,FDD,IMD5
,n71,680,5,25,634,N/A,FDD,N/A
,n78,3528,10,50,3528,N/A,TDD,N/A
CA_n24-n41-n48,n24,1649,5,25,1528.5,N/A,FDD,N/A
,n41,2610,10,50,2610,N/A,TDD,N/A
,n48,N/A,10,N/A,3571,15.3,TDD,IMD3
,n24,1630,5,25,1528.5,N/A,FDD,N/A
,n41,N/A,10,N/A,2501,4.3,TDD,IMD5
,n48,3695,10,50,3695,N/A,TDD,N/A
,n24,N/A,5,N/A,1530,14.9,FDD,IMD3
,n41,2592.5,10,50,2592.5,N/A,TDD,N/A
,n48,3655,10,50,3655,N/A,TDD,N/A
CA_n24-n41-n77,n24,1630,5,25,1528.5,N/A,FDD,N/A
,n41,2685,10,50,2685,N/A,TDD,N/A
,n77,N/A,10,N/A,3740,15.3,TDD,"IMD31,5"
,n24,1630,5,25,1528.5,N/A,FDD,N/A
,n41,N/A,10,N/A,2620,4.3,TDD,IMD55
,n77,3755,10,50,3755,N/A,TDD,N/A
,n24,N/A,5,N/A,1528.5,14.9,FDD,"IMD32,5"
,n41,2501,10,50,2501,N/A,TDD,N/A
,n77,3473.5,10,50,3473.5,N/A,TDD,N/A
CA_n25-n38-n78,n25,N/A,5,N/A,1932.5,16.4,FDD,IMD3
,n38,2617.5,5,25,2617.5,N/A,TDD,N/A
,n78,3305,10,50,3305,N/A,TDD,N/A
,n25,1870,5,25,1950,N/A,FDD,N/A
,n38,2610,5,25,2610,N/A,TDD,N/A
,n78,N/A,10,N/A,3350,14.8,TDD,IMD3
,n25,N/A,5,N/A,1960,8.6,TDD,IMD4
,n38,2570,5,25,2570,N/A,FDD,N/A
,n78,3550,10,50,3550,N/A,TDD,N/A
CA_n25-n41-n66,n25,N/A,5,N/A,1940,11.0,FDD,IMD4
,n41,2685,10,50,2685,N/A,TDD,N/A
,n66,1715,5,25,2115,N/A,FDD,N/A
,n25,N/A,5,25,1950,15.3,FDD,IMD3
,n41,2546,100,1 (RBstart=24),2546,N/A,TDD,N/A
,,2641,90,1 (RBstart=232),2641,,,
,n66,1775,5,25,2175,N/A,FDD,N/A
,n25,1912.5,5,25,1992.5,N/A,FDD,N/A
,n41,2546,100,1 (RBstart=260),2546,N/A,TDD,N/A
,,2641,90,1 (RBstart=121),2641,,,
,n66,N/A,5,25,1962.5,15.3,FDD,IMD3
CA_n25-n41-n71,n25,1900,5,25,1980,N/A,FDD,N/A
,n41,2532,10,50,2532,N/A,TDD,N/A
,n71,N/A,5,N/A,632,28.7,FDD,IMD2
,n25,1900,5,25,1980,N/A,FDD,N/A
,n41,2534,10,50,2534,N/A,TDD,N/A
,n71,N/A,5,N/A,632,4.3,FDD,IMD5
,n25,1900,5,25,1980,N/A,FDD,N/A
,n41,N/A,10,N/A,2578,30.0,TDD,IMD22
,n71,678,5,25,632,N/A,FDD,N/A
,n25,N/A,5,N/A,1980,26.0,FDD,IMD2
,n41,2658,10,50,2658,N/A,TDD,N/A
,n71,678,5,50,632,N/A,FDD,N/A
CA_n25-n41-n77,n25,1870,5,25,1950,N/A,FDD,N/A
,n41,2670,10,50,2670,N/A,TDD,N/A
,n77,N/A,10,N/A,3470,13.3,TDD,IMD31
,n25,1870,5,25,1950,N/A,FDD,N/A
,n41,N/A,10,N/A,2640,4.3,TDD,IMD55
,n77,4125,10,50,4125,N/A,TDD,N/A
,n25,N/A,5,N/A,1950,16.1,FDD,IMD35
,n41,2675,10,50,2675,N/A,TDD,N/A
,n77,3400,10,50,3400,N/A,TDD,N/A
,n25,N/A,5,N/A,1950,7.6,FDD,IMD4
,n41,2550,10,50,2550,N/A,TDD,N/A
,n77,3525,10,50,3525,N/A,TDD,N/A
CA_n25-n41-n78,n25,1870,5,25,1950,N/A,FDD,N/A
,n41,2670,10,50,2670,N/A,TDD,N/A
,n78,N/A,10,N/A,3470,13.3,TDD,IMD31
,n25,N/A,5,N/A,1950,16.1,FDD,IMD3
,n41,2675,10,50,2675,N/A,TDD,N/A
,n78,3400,10,50,3400,N/A,TDD,N/A
,n25,N/A,5,N/A,1950,7.6,FDD,IMD4
,n41,2550,10,50,2550,N/A,TDD,N/A
,n78,3525,10,50,3525,N/A,TDD,N/A
CA_n25-n41-n85,n25,1900,5,25,1980,N/A,FDD,N/A
,n41,2638,10,50,2638,N/A,TDD,N/A
,n85,N/A,5,N/A,738,28.7,FDD,IMD24
,n25,1900,5,25,1980,N/A,FDD,N/A
,n41,N/A,10,N/A,2608,26.7,TDD,IMD2
,n85,708,5,25,738,N/A,FDD,N/A
,n25,N/A,5,N/A,1952,26,FDD,IMD2
,n41,2660,10,50,2660,N/A,TDD,N/A
,n85,708,5,50,738,N/A,FDD,N/A
CA_n25-n48-n66,n25,1900,5,25,1980,N/A,FDD,N/A
,n48,3540,10,50,3540,N/A,TDD,N/A
,n66,N/A,5,N/A,2160,10.4,FDD,IMD4
,n25,1880,5,25,1960,N/A,FDD,N/A
,n48,N/A,10,N/A,3620,29.4,TDD,IMD2
,n66,1740,5,25,2140,N/A,FDD,N/A
,n25,N/A,5,N/A,1960,32.1,FDD,IMD21
,n48,3700,10,50,3700,N/A,TDD,N/A
,n66,1740,5,25,2140,N/A,FDD,N/A
CA_n25-n66-n77,n25,1855,5,25,1935,N/A,FDD,N/A
,n66,N/A,5,N/A,2115,29.2,FDD,IMD22
,n77,3970,10,50,3970,N/A,TDD,N/A
,n25,1900,5,25,1980,N/A,FDD,N/A
,n66,N/A,5,N/A,2160,4.0,FDD,IMD5
,n77,3930,10,50,3930,N/A,TDD,N/A
,n25,N/A,5,N/A,1960,32.1,FDD,IMD2
,n66,1760,5,25,2160,N/A,FDD,N/A
,n77,3720,10,50,3720,N/A,TDD,N/A
,n25,N/A,5,N/A,1960,9.1,FDD,IMD45
,n66,1770,5,25,2170,N/A,FDD,N/A
,n77,3350,10,50,3350,N/A,TDD,N/A
,n25,N/A,5,N/A,1960,2.1,FDD,IMD55
,n66,1760,5,25,2160,N/A,FDD,N/A
,n77,3620,10,50,3620,N/A,TDD,N/A
,n25,1880,5,25,1960,N/A,FDD,N/A
,n66,1740,5,25,2140,N/A,FDD,N/A
,n77,N/A,10,N/A,3620,29.4,TDD,"IMD22,5"
CA_n25-n66-n78,n25,1880,5,25,1960,N/A,FDD,N/A
,n66,1740,5,25,2140,N/A,FDD,N/A
,n78,N/A,10,N/A,3620,29.4,TDD,IMD2
,n25,1900,5,25,1980,N/A,FDD,N/A
,n66,N/A,5,N/A,2150,10.4,FDD,IMD4
,n78,3550,10,50,3550,N/A,TDD,N/A
,n25,N/A,5,N/A,1960,32.1,FDD,"IMD21,2"
,n66,1760,5,25,2160,N/A,FDD,N/A
,n78,3720,10,50,3720,N/A,TDD,N/A
CA_n25-n66-n85,n25,N/A,5,N/A,1992.5,11.0,FDD,IMD4
,n66,1712.5,5,25,2112.5,N/A,FDD,N/A
,n85,713.5,5,25,743.5,N/A,FDD,N/A
CA_n25-n71-n77,n25,1907.5,5,25,1987.5,N/A,FDD,N/A
,n71,695.5,5,25,649.5,N/A,FDD,N/A
,n77,N/A,10,N/A,3305,8.0,TDD,"IMD31,2,5"
,n25,N/A,5,N/A,1954,16.5,FDD,"IMD32,5"
,n71,693,5,25,647,N/A,FDD,N/A
,n77,3340,10,50,3340,N/A,TDD,N/A
CA_n25-n71-n78,n25,1907.5,5,25,1987.5,N/A,FDD,N/A
,n71,695.5,5,25,649.5,N/A,FDD,N/A
,n78,N/A,10,N/A,3305,8.0,TDD,IMD3
,n25,N/A,5,N/A,1954,16.5,FDD,IMD3
,n71,693,5,25,647,N/A,FDD,N/A
,n78,3340,10,50,3340,N/A,TDD,N/A
CA_n25-n71-n85,n25,1912.5,5,25,"1992,5",N/A,FDD,N/A
,n71,665.5,5,25,619.5,N/A,FDD,N/A
,n85,N/A,5,25,743.5,4.2,FDD,IMD5
CA_n25-n77-n85,n25,N/A,5,N/A,1960,16.5,FDD,IMD32
,n77,3375,10,50,3375,N/A,TDD,N/A
,n85,707.5,5,25,737.5,N/A,FDD,N/A
,n25,1900,5,25,1980,N/A,FDD,N/A
,n77,N/A,10,N/A,3315,16.0,TDD,"IMD31,2"
,n85,707.5,5,25,737.5,N/A,FDD,N/A
CA_n26-n29-n66,n26,830,5,25,875,N/A,FDD,N/A
,n29,N/A,5,N/A,720,9.4,SDL,IMD4
,n66,1770,5,25,2170,N/A,FDD,N/A
CA_n26-n48-n66,n26,829,5,25,874,N/A,FDD,N/A
,n48,N/A,10,N/A,3622,3.6,TDD,IMD5
,n66,1760,5,25,2160,N/A,FDD,N/A
CA_n26-n48-n70,n26,826.5,5,25,871.5,N/A,FDD,N/A
,n48,3653,10,50,3653,N/A,TDD,N/A
,n70,N/A,5,N/A,2000,13.2,FDD,IMD3
CA_n26-n66-n71,n26,N/A,5,N/A,892,4.2,FDD,IMD5
,n66,1770,5,25,2170,N/A,FDD,N/A
,n71,665.5,5,25,619.5,N/A,FDD,N/A
CA_n26-n66-n77,n26,845,5,25,890,N/A,FDD,N/A
,n66,1775,5,25,2175,N/A,FDD,N/A
,n77,N/A,10,N/A,3465,16.1,TDD,IMD31
,n26,826.5,5,25,871.5,N/A,FDD,N/A
,n66,1712.5,5,25,2112.5,N/A,FDD,N/A
,n77,N/A,10,N/A,4192,8.2,TDD,IMD4
,n26,826.5,5,25,871.5,N/A,FDD,N/A
,n66,N/A,5,N/A,2142,13.2,FDD,IMD3
,n77,3795,10,50,3795,N/A,TDD,N/A
CA_n26-n70-n77,n26,845,5,25,890,N/A,FDD,N/A
,n70,1700,5,25,2000,N/A,FDD,N/A
,n77,N/A,10,N/A,3390,16.1,TDD,IMD35
,n26,826.5,5,25,871.5,N/A,FDD,N/A
,n70,1700,5,25,2000,N/A,FDD,N/A
,n77,N/A,10,N/A,4179.5,8.2,TDD,IMD45
,n26,835,5,25,880,N/A,FDD,N/A
,n70,1700,5,25,2000,N/A,FDD,N/A
,n77,N/A,10,N/A,3430,3.3,TDD,IMD55
,n26,826.5,5,25,871.5,N/A,FDD,N/A
,n70,N/A,5,N/A,2000,13.2,FDD,IMD35
,n77,3653,10,50,3653,N/A,TDD,N/A
CA_n28-n39-n40,n28,N/A,5,N/A,790,8.6,FDD,IMD4
,n39,1915,5,25,1915,N/A,FDD,N/A
,n40,2310,10,50,2310,N/A,FDD,N/A
CA_n28-n39-n41,n28,N/A,5,N/A,762,29.3,FDD,IMD2
,n39,1923,5,25,1923,N/A,TDD,N/A
,n41,2685,10,50,2685,N/A,TDD,N/A
CA_n28-n39-n79,n28,715,5,25,770,N/A,FDD,N/A
,n39,1902.5,5,25,1902.5,N/A,TDD,N/A
,n79,4520,40,216,4520,6.7,TDD,IMD3
,n28,727.5,5,25,782.5,N/A,FDD,N/A
,n39,1902.5,5,25,1902.5,N/A,TDD,N/A
,n79,4980,40,216,4980,4.0,TDD,IMD41
,n28,715.5,5,25,770.5,N/A,FDD,N/A
,n39,1898,5,25,1898,5.7,TDD,IMD5
,n79,4760,40,216,4760,N/A,TDD,N/A
,n28,730,5,25,785,15.6,FDD,IMD3
,n39,1887.5,5,25,1887.5,N/A,TDD,N/A
,n79,4560,40,216,4560,N/A,TDD,N/A
,n28,725,5,25,780,8.5,FDD,IMD4
,n39,1900,5,25,1900,N/A,TDD,N/A
,n79,4920,40,216,4920,N/A,TDD,N/A
CA_n28-n40-n41,n28,N/A,5,N/A,760,7.6,FDD,IMD4
,n40,2305,10,50,2305,N/A,TDD,N/A
,n41,2685,10,50,2685,N/A,TDD,N/A
,n28,740,5,25,795,N/A,TDD,N/A
,n40,2380,10,50,2380,N/A,TDD,N/A
,n41,N/A,10,N/A,2540,11.4,TDD,IMD5
CA_n28-n40-n71,n28,743,5,25,798,N/A,FDD,N/A
,n40,2350,10,50,2350,N/A,TDD,N/A
,n71,N/A,5,N/A,622,3.9,FDD,IMD5
CA_n28-n40-n77,n28,N/A,5,N/A,800.5,11,FDD,IMD31
,n40,2305,10,50,2305,N/A,TDD,N/A
,n77,3795,10,50,3795,N/A,TDD,N/A
,n28,708,5,25,763,N/A,FDD,N/A
,n40,2310,10,50,2310,N/A,TDD,N/A
,n77,N/A,10,N/A,3726,26.7,TDD,IMD32
,n28,708,5,25,763,N/A,FDD,N/A
,n40,N/A,10,N/A,2390,12.3,TDD,IMD3
,n77,3806,10,50,3806,N/A,TDD,N/A
CA_n28-n40-n78,n28,N/A,5,N/A,800.5,11,FDD,IMD3
,n40,2305,10,50,2305,N/A,TDD,N/A
,n78,3795,10,50,3795,N/A,N/A,N/A
,n28,708,5,25,763,N/A,FDD,N/A
,n40,2310,10,50,2310,N/A,TDD,N/A
,n78,N/A,10,N/A,3726,26.7,TDD,IMD32
,n28,708,5,25,763,N/A,FDD,N/A
,n40,N/A,10,N/A,2379,12.3,TDD,IMD3
,n78,3795,10,50,3795,N/A,TDD,N/A
CA_n28-n40-n79,n28,730,5,25,785,N/A,FDD,N/A
,n40,2350,10,50,2350,N/A,TDD,N/A
,n79,N/A,10,N/A,4540,10.7,TDD,IMD4
,n28,720,5,25,775,N/A,FDD,N/A
,n40,N/A,10,N/A,2340,9.2,TDD,IMD4
,n79,4500,10,50,4500,N/A,TDD,N/A
CA_n28-n41-n74,n28,N/A,5,N/A,782,3.5,FDD,IMD5
,n41,2569,10,50,2569,N/A,TDD,N/A
,n74,1452,5,25,1500,N/A,FDD,N/A
CA_n28-n41-n77,n28,N/A,5,N/A,798,29.3,FDD,IMD24
,n41,2642,10,50,2642,N/A,TDD,N/A
,n77,3440,10,50,3440,N/A,TDD,N/A
,n28,N/A,5,N/A,782.5,3.0,FDD,IMD5
,n41,2567.5,10,50,2567.5,N/A,TDD,N/A
,n77,3460,10,50,3460,N/A,TDD,N/A
,n28,738,5,25,793,N/A,FDD,N/A
,n41,N/A,10,N/A,2642,27.5,TDD,IMD2
,n77,3380,10,50,3380,N/A,TDD,N/A
,n28,743,5,25,798,N/A,FDD,N/A
,n41,2580,10,50,2580,N/A,TDD,N/A
,n77,N/A,10,N/A,3323,26.7,TDD,IMD24
CA_n28-n41-n78,n28,738,5,25,793,N/A,FDD,N/A
,n41,N/A,10,N/A,2642,27.5,TDD,IMD2
,n78,3380,10,50,3380,N/A,TDD,N/A
,n28,N/A,5,N/A,798,29.3,FDD,IMD21
,n41,2642,10,50,2642,N/A,TDD,N/A
,n78,3440,10,50,3440,N/A,TDD,N/A
,n28,743,5,25,798,N/A,FDD,N/A
,n41,2580,10,50,2580,N/A,TDD,N/A
,n78,N/A,10,N/A,3323,28.2,TDD,IMD22
CA_n28-n41-n79,n28,N/A,5,N/A,780,13.0,FDD,IMD31
,n41,2600,10,50,2600,N/A,TDD,N/A
,n79,4420,40,216,4420,N/A,TDD,N/A
,n28,720,5,25,775,N/A,FDD,N/A
,n41,2600,10,50,2600,N/A,TDD,N/A
,n79,N/A,40,N/A,4480,10.1,TDD,IMD32
,n28,735,5,25,790,N/A,FDD,N/A
,n41,N/A,10,N/A,2645,10.4,TDD,IMD4
,n79,4850,40,216,4850,N/A,TDD,N/A
CA_n28-n46-n78,n28,710,5,25,765,N/A,FDD,N/A
,n46,5170,20,100,5170,N/A,FDD,N/A
,n78,N/A,10,N/A,3750,17,TDD,IMD31
,n28,N/A,5,N/A,780,16,FDD,IMD3
,n46,5900,20,100,5900,N/A,FDD,N/A
,n78,3340,10,50,3340,N/A,TDD,N/A
,n28,740,5,25,795,N/A,FDD,N/A
,n46,N/A,20,N/A,5900,22,TDD,"IMD31,2"
,n78,3320,10,50,3320,N/A,TDD,N/A
CA_n28-n71-n77,n28,713,5,25,768,N/A,FDD,N/A
,n71,N/A,5,N/A,628,4.7,FDD,IMD5
,n77,3480,10,50,3480,N/A,TDD,N/A
,n28,N/A,5,N/A,778,4.3,FDD,IMD5
,n71,688,5,25,642,N/A,FDD,N/A
,n77,3530,10,50,3530,N/A,TDD,N/A
CA_n28-n74-n77,n28,730,5,25,785,N/A,FDD,N/A
,n74,N/A,5,25,1500,9.0,FDD,IMD4
,n77,3690,10,50,3690,N/A,TDD,N/A
,n28,N/A,5,25,785,18.7,FDD,IMD3
,n74,1452,5,25,1500,N/A,FDD,N/A
,n77,3689,10,50,3689,N/A,TDD,N/A
,n28,N/A,5,25,785,13.2,FDD,IMD4
,n74,1458,5,25,1506,N/A,FDD,N/A
,n77,3589,10,50,3589,N/A,TDD,N/A
,n28,743,5,25,798,N/A,FDD,N/A
,n74,1443,5,25,1491,N/A,FDD,N/A
,n77,N/A,10,N/A,3629,15.9,TDD,IMD3
,n28,743,5,25,798,N/A,FDD,N/A
,n74,1443,5,25,1491,N/A,FDD,N/A
,n77,N/A,10,N/A,3629,10.2,TDD,IMD4
CA_n28-n75-n78,n28,725,5,25,780,N/A,FDD,N/A
,n75,N/A,5,N/A,1476,9.0,SDL,IMD4
,n78,3651,10,50,3651,N/A,TDD,N/A
CA_n28-n77-n79,n77,3620,10,50,3620,N/A,TDD,N/A
,n79,4420,40,216,4420,N/A,TDD,N/A
,n28,745,5,25,800,16.2,FDD,"IMD21,2"
CA_n28-n78-n79,n28,740,5,25,795,N/A,FDD,N/A
,n78,3700,10,50,3700,N/A,TDD,N/A
,n79,N/A,10,N/A,4440,26.2,TDD,IMD2
,n28,708,5,25,763,N/A,FDD,N/A
,n78,3305,10,50,3305,N/A,TDD,N/A
,n79,N/A,10,N/A,4721,5.1,TDD,IMD31
,n28,740,5,25,795,N/A,FDD,N/A
,n78,N/A,10,N/A,3700,26.9,TDD,IMD23
,n79,4440,10,50,4440,N/A,TDD,N/A
,n28,740,5,25,795,N/A,FDD,N/A
,n78,N/A,10,N/A,3420,8.7,TDD,IMD33
,n79,4900,40,216,4900,N/A,TDD,N/A
,n28,740,5,25,795,N/A,FDD,N/A
,n78,N/A,10,N/A,3310,4.6,TDD,IMD3
,n79,4790,10,50,4790,N/A,TDD,N/A
,n28,N/A,5,N/A,800,16.2,FDD,IMD21
,n78,3620,10,50,3620,N/A,TDD,N/A
,n79,4420,10,50,4420,N/A,TDD,N/A
CA_n28-n78-n102,n28,710,5,25,765,N/A,FDD,N/A
,n78,3380,5,25,3380,N/A,TDD,N/A
,n102,N/A,40,N/A,6050,22,TDD,"IMD31,2"
,n28,730,5,25,785,N/A,FDD,N/A
,n78,N/A,5,N/A,3755,10.3,TDD,IMD41
,n102,5945,40,216,5945,N/A,TDD,N/A
,n28,N/A,5,N/A,775,16,FDD,"IMD31,2"
,n78,3395,5,25,3395,N/A,TDD,N/A
,n102,6015,40,216,6015,N/A,TDD,N/A
CA_n29-n30-n66,n29,N/A,5,N/A,719.5,4.5,SDL,IMD5
,n30,2307.5,5,25,2352.5,N/A,FDD,N/A
,n66,1777.5,5,25,2177.5,N/A,FDD,N/A
CA_n29-n30-n77,n29,N/A,5,N/A,722,15.2,SDL,IMD31
,n30,2310,5,25,2355,N/A,FDD,N/A
,n77,3898,10,50,3898,N/A,TDD,N/A
CA_n29-n66-n77,n29,N/A,5,N/A,722,15.2,SDL,IMD35
,n66,1734,5,25,2134,N/A,FDD,N/A
,n77,4190,10,50,4190,N/A,TDD,N/A
CA_n30-n66-n77,n30,N/A,5,N/A,2355,29.2,FDD,IMD25
,n66,1745,5,25,2145,N/A,FDD,N/A
,n77,4100,10,50,4100,N/A,TDD,N/A
,n30,N/A,5,N/A,2355,3.4,FDD,IMD5
,n66,1735,5,25,2135,N/A,FDD,N/A
,n77,3780,10,50,3780,N/A,TDD,N/A
,n30,2310,5,25,2355,N/A,FDD,N/A
,n66,N/A,5,N/A,2160,8.7,FDD,IMD45
,n77,3390,10,50,3390,N/A,TDD,N/A
,n30,2310,5,25,2355,N/A,FDD,N/A
,n66,1745,5,25,2145,N/A,FDD,N/A
,n77,N/A,10,N/A,4055,28.4,TDD,"IMD21,5"
CA_n34-n39-n40,n34,2022.5,5,25,2022.5,N/A,TDD,N/A
,n39,1882.5,5,25,1882.5,N/A,TDD,N/A
,n40,N/A,10,N/A,2305,2.4,TDD,IMD5
CA_n34-n40-n41,n34,N/A,5,N/A,2015,18.3,TDD,IMD31
,n40,2305,10,50,2305,N/A,TDD,N/A
,n41,2590,10,50,2590,N/A,TDD,N/A
,n34,2020,5,25,2020,N/A,TDD,N/A
,n40,2320,10,50,2320,N/A,TDD,N/A
,n41,2620,10,50,2620,16.5,TDD,IMD3
CA_n34-n41-n79,n34,2020,5,25,2020,N/A,TDD,N/A
,n41,2660,10,50,2660,N/A,TDD,N/A
,n79,N/A,40,216,4680,17.8,TDD,IMD2
,n34,2020,5,25,2020,N/A,TDD,N/A
,n41,N/A,10,50,2550,25.2,TDD,IMD2
,n79,4570,40,216,4570,N/A,TDD,N/A
,n34,N/A,5,25,2015,27.1,TDD,IMD2
,n41,2585,10,50,2585,N/A,TDD,N/A
,n79,4600,40,216,4600,N/A,TDD,N/A
,n34,N/A,5,25,2015,6.5,TDD,IMD5
,n41,2515,10,50,2515,N/A,TDD,N/A
,n79,4780,40,216,4780,N/A,TDD,N/A
CA_n38-n66-n78,n38,2550,5,25,2550,N/A,TDD,N/A
,n66,N/A,5,N/A,2150,8.7,FDD,IMD4
,n78,3625,10,50,3625,N/A,TDD,N/A
,n38,2610,5,25,2610,N/A,TDD,N/A
,n66,1760,5,25,2160,N/A,FDD,N/A
,n78,N/A,10,N/A,3460,15.0,TDD,IMD3
CA_n39-n40-n41,n39,1917.5,5,25,1917.5,N/A,TDD,N/A
,n40,2305,10,50,2305,N/A,TDD,N/A
,n41,N/A,10,N/A,2685,30.3,TDD,IMD3
,n39,N/A,5,N/A,1915,27.4,TDD,IMD31
,n40,2305,10,50,2305,N/A,TDD,N/A
,n41,2685,10,50,2685,N/A,TDD,N/A
CA_n39-n40-n79,n39,1917.5,5,25,1917.5,N/A,TDD,N/A
,n40,2305,10,25,2305,N/A,TDD,N/A
,n79,N/A,40,N/A,4980,5.8,TDD,IMD4
CA_n39-n41-n79,n39,N/A,N/A,N/A,N/A,N/A,TDD,N/A
,n41,N/A,N/A,N/A,N/A,N/A,TDD,N/A
,n79,N/A,N/A,N/A,N/A,N/A,TDD,IMD29
,n39,1900,5,25,1900,N/A,TDD,N/A
,n41,N/A,10,N/A,2650,29.8,TDD,IMD21
,n79,4550,10,50,4550,N/A,TDD,N/A
,n39,N/A,5,N/A,1900,28.9,TDD,IMD21
,n41,2650,10,50,2650,N/A,TDD,N/A
,n79,4550,10,50,4550,N/A,TDD,N/A
CA_n40-n41-n7714,n40,2305,10,50,2305,N/A,TDD,N/A
,n41,2685,10,50,2685,N/A,TDD,N/A
,n77,N/A,10,N/A,3445,5.2,TDD,IMD515
,n40,2305,10,50,2305,N/A,TDD,N/A
,n41,N/A,10,N/A,2600,13.1,TDD,IMD415
,n77,3605,10,50,3605,N/A,TDD,N/A
,n40,N/A,10,N/A,2350,15,TDD,IMD415
,n41,2550,10,50,2550,N/A,TDD,N/A
,n77,3725,10,50,3725,N/A,TDD,N/A
CA_n40-n41-n79,n40,2340,10,50,2340,N/A,TDD,N/A
,n41,2600,10,50,2600,N/A,TDD,N/A
,n79,N/A,40,N/A,4940,30.5,TDD,IMD2
,n40,N/A,10,N/A,2335,31,TDD,IMD21
,n41,2545,10,50,2545,N/A,TDD,N/A
,n79,4880,40,216,4880,N/A,TDD,N/A
,n40,2340,10,50,2340,N/A,TDD,N/A
,n41,N/A,10,N/A,2600,29.4,TDD,IMD21
,n79,4940,40,216,4940,N/A,TDD,N/A
CA_n40-n71-n77,n40,2320,10,50,2320,N/A,TDD,N/A
,n71,N/A,5,N/A,630,18.7,FDD,IMD32
,n77,3580,10,50,3580,N/A,TDD,N/A
,n40,2330,10,50,2330,N/A,TDD,N/A
,n71,688,5,25,642,N/A,FDD,N/A
,n77,N/A,10,N/A,3706,16.3,TDD,IMD31
,n40,N/A,10,N/A,2354,15.5,TDD,IMD3
,n71,688,5,25,642,N/A,FDD,N/A
